Entry_Number,Sentence_Number,Cleaned_Text,Category,Subcategory,Nazi,Beautiful,Sexual/body
6,89,Setzte sich mit an unseren Tisch.,Event,Social,,,
6,90,"Finke zog auf Frau Lüddecke auf, die aber so besoffen war & das garnicht merkte.",Event,Social,,,
6,91,"Finke war sehr nett zu mir, nur fand er, daß ich so komisch zu ihm wäre.",Event,Romantic,,,
6,92,"Ich war extra so kühl, weil Mutti & Bierwirth & Frau Lüddecke nichts davon merken sollten.",Event,Romantic,,,
6,93,"Sie brachten erst uns, und dann Frau Lüddecke heim, nachdem sie noch im Korso & im Bahnhof Station machten.",Event,Social,,,
7,94,Heute den 1. Juli 33 Mittags hat mich Luise R. zum kaffee eingeladen.,Temp/Spat,Temp/Spat,,,
7,94,,Event,Social,,,
7,95,Margrete kuckuck & Ruth Wasmus waren auch noch da.,Event,Social,,,
7,96,Um ½ 6 holte mich Hans Mommertz ab.,Event,Social,,,
7,97,"Wir wollten knipsen, aber das wetter war zu schlecht.",Event,Social,,,
7,98,Um 7 uhr war ich im geschafft.,Temp/Spat,Temp/Spat,,,
7,99,"Sofort umgezogen & mit Mutti & Familie A. ins Theater, in Friedemann Bach.",Event,Social,,,
7,100,"Sehr schön, aber sehr sehr traurig.",Reflection,Social,,,
8,101,"Heute den 4. Juli 33 Mit Herr + Frau Feil, Frau Lüddecke etc. im Korso.",Temp/Spat,Temp/Spat,,,
8,101,,Event,Social,,,
8,102,Da kommt Finke & kurz darauf Heidemann.,Event,Social,,,
8,103,Nun alle in so guter Laune.,Event,Social,,,
8,104,"Na noch ins Pschorr; aber da die meisten Dagegen waren, gingen wir in die Mampe.",Event,Social,,,
8,105,"Herr Feil war so gut aufgelegt, & Finke zog Frau Lüddecke in einer Tour auf, ebenso tat es Herr Zähnecke.",Event,Social,,,
8,106,Frau Lüddecke teilte Blumen aus.,Event,Social,,,
8,107,"Finke steckte sich selbst eine an, die er mir verehrte.",Event,Romantic,,,
8,108,Auch bastelte er von Strohhalmen mir einen Ring.,Event,Romantic,,,
8,109,Naturlich dies treten & stumpfen kam auch.,Event,Romantic,,,
8,110,"Er nahm sogar meine Hand, jedoch sehr vorsichtig, denn mein Vater saß neben Finke.",Event,Romantic,,,
8,111,Es war sehr lustig & ich fange es sehr schön.,Reflection,Romantic,,,
8,112,"Frau Lüddecke fuhr mit Herrn Heidemann im Auto heim, wahrend wir ganz rasch zu Fuß heim eilten.",Event,Social,,,
8,113,Finke hakte Mama & mich unter.,Event,Romantic,,,
9,114,Heute den 6. Juli 33 Mama & ich mit Familie Feil beim Biwak.,Temp/Spat,Temp/Spat,,,
9,114,,Event,Social,,,
9,115,Danach noch ins Korso.,Event,Social,,,
9,116,Finke kam natürlich auch noch.,Event,Romantic,,,
9,117,"Ich dachte ihm beim Biwak zu treffen, & er mich auch.",Event,Romantic,,,
9,118,Aber er waren zu viel Menschen dorten.,Event,Social,,,
9,119,"Finke lotzte Mama & mich noch ins Pschorr mit, da wir alle (Feil auch) noch Hunger hatten.",Event,Social,,,
9,120,Da meinte Finke auch ich sei garnicht nett zu ihm usw.,Event,Romantic,,,
9,121,"Wir gingen dann noch ins Korso wo er auf mein Block stenographieren, aber ich konnte es nicht lesen.",Event,Romantic,,,
9,122,Er schrieb dann nochmals KLEINES DUMMES was das bedeuten soll weiß ich nicht.,Event,Romantic,,,
9,123,Ich wollte es absolut wissen; aber sagte „dann werfen sie es mir an den kopf.“,Event,Romantic,,,
10,124,"Heute, den 12. Juli 33
Mama & Finke & ich in Lichtspiele.",Temp/Spat,Temp/Spat,,,
10,124,,Event,Social,,,
10,125,"„Was Frauen traumen“ Während diese Stückes konnten wir uns doch nicht ansehen, da doch meine Mutter nebenan saß.",Event,Romantic,,,
10,126,Nur eines taten wir.,Event,Romantic,,,
10,127,Unsere hande fanden sich naturlich wieder.,Event,Romantic,,,
10,128,"Nur glaube ich das meine Mutter es merkte wenn ich Finkes Hand nahm, da man doch merkt ob sich der arm (muskeln) sich bewegt.",Reflection,Romantic,,,
10,129,Na sie sagte nichts.,Event,Romantic,,,
10,130,Im Korso tranken wir noch einen kaffee.,Event,Romantic,,,
11,131,"Heute, den 16 Juli 33
Jenners hier gewesen & Papa & Frau Deuter nach Walen.",Temp/Spat,Temp/Spat,,,
11,131,,Event,Social,,,
11,132,"Finke und ich solange ins Korso (am hellen Sonntagmorgen) und gewartet, bis Armin zurückkam & uns holte.",Event,Romantic,,,
11,132,,Event,Social,,,
11,133,"Wir unterhielten uns uber seinen Kummer und gab er zu, dass der „Moralische“ den er schon seit 2 Monaten hat, von seiner Freundin herkommt.",Event,Romantic,,,
11,134,Er hat schluss gemacht; aber sie lauft ihn nach & geht zu ihn heim & belästigt seine Mutter.,Event,Romantic,,,
11,135,Es sei gar kein madel fur ihn.,Event,Romantic,,,
11,136,"In Walen war er sehr nett, aber immer anständig.",Event,Romantic,,,
11,137,Im Pawelsch Holz überkam mich ein Schauer & ich war so Kuhl zu ihn.,Event,Romantic,,,
11,138,Ich konnte ihn einfach nicht mehr sehen.,Reflection,Romantic,,,
11,139,"Er ging auch nach Lehndorf zum Tanzen, wahrend wir nach B. Zurückführen.",Event,Social,,,
12,140,"Heute, den 24. Juli 33
Ich ging ganz alleine ins Kino „Marie aus Moralischen Grunden entlassen“ & „Strich durch die Rechnung“ es kam mir ja so komisch vor.",Temp/Spat,Temp/Spat,,,
12,140,,Event,Social,,,
12,141,So alleine und dann Abends noch.,Reflection,Social,,,
12,142,"Finke fehlte mir wahrend dem Stuck, aber er darf es nicht wissen.",Reflection,Romantic,,,
13,143,"Heute, den 25. Juli 33
Mit Herr & Frau Feil im Korso, da kam Frau Heine auch noch.",Temp/Spat,Temp/Spat,,,
13,143,,Event,Social,,,
13,144,Herr Finke kam zu uns an den Tisch.,Event,Social,,,
13,145,Er ging nach oben und brachte den schirm von Frau L. mit runter.,Event,Social,,,
13,146,Sie erschien auch gleich.,Event,Social,,,
13,147,"Die beiden tanzen & kamen zwischendurch, als mal runter.",Event,Social,,,
13,148,"Ich war kuhl, aber doch höflich.",Event,Romantic,,,
13,149,Da fragte Finke warum ich ihn schon seit einigen tagen so schneiden würde.,Event,Romantic,,,
13,150,"Ist das geschnitten, wenn man zuvor kommend ist, aber nicht intime unterhaltung fuhrt.",Reflection,Romantic,,,
13,151,Kleines dummes sagte er wieder.,Event,Romantic,,,
13,152,"Ich erklärte ihn, wenn jemand dabei ist, bin ich immer so kuhl.",Event,Romantic,,,
13,153,Als ich ihn anstiess sagte ich Verzeihung usw.,Event,Social,,,
13,154,Leise sagte F. schon wieder so kühl & formell.,Event,Romantic,,,
13,155,Er ginge dann mit Frau Lüddecke nach Hause.,Event,Social,,,
13,156,"Sie erzählte, dass Finke so verliebt gewesen sei.",Event,Romantic,,,
13,157,"Ich habe mich zwar sehr geärgert, aber „narre mise anmerke lasse!“ Hanneman kam als Finke wegging.",Reflection,Romantic,,,
13,157,,Event,Social,,,
13,158,Wir (Frau + Herr Feil + Herr Scmitt + Hanneman) gingen noch in die mampe.,Event,Social,,,
13,159,Dort war Hanneman Sehr nett zu mir Er lud mich zu einen Mocca - flug ein.,Event,Romantic,,,
13,160,"Wollte mich in Arm nehmen, aber ich lies mir das nicht gefallen.",Event,Romantic,,,
13,161,"Seppel ist sein Hund, der einfach wonnig ist.",Event,Social,,,
13,162,Wir waren noch sehr lustig bis ½ 4 uhr.,Event,Social,,,
13,163,"Pap machte krach, als ich um 4 uhr heim kam.",Event,Social,,,
14,164,"Heute, den 27. Juli 33
Mit Rusteberg & Frau Brücke ins Korso, Papa spielte Schach, wahrend Finke neben mir sass.",Temp/Spat,Temp/Spat,,,
14,164,,Event,Social,,,
14,165,"Da bestellte der ober zu Finke, das Frau Lüddecke sagen lasst Finke soll sich oben mit hinsetzen.",Event,Social,,,
14,166,Er ging rauf und brachte sie mit runter.,Event,Social,,,
14,167,Ich ging bald darauf mit Papa heim während Frau Brucke + Rusteberg Frau Lüddecke & Finke ins Pschorr gingen.,Event,Social,,,
14,168,Frau Brucke soll ihren moralischen Koller bekommen haben sie soll sogar geweint haben etc. Frau L. erzählte am anderen Morgen Finke sei so glücklich und so verliebt gewesen.,Event,Romantic,,,
14,169,"Eigentlich liegt mir garnichts dran, aber andererseits war er doch so nett zu mir.",Reflection,Romantic,,,
14,170,Ich finde garnicht da durch.,Reflection,Romantic,,,
15,171,"Heute den 29. Juli 33
Finke kam ins geschäft und erzählte mir von Frau Brucke und Otto Bierwirth.",Temp/Spat,Temp/Spat,,,
15,171,,Event,Social,,,
15,172,Von mir aus machen sie sonst was.,Reflection,Social,,,
15,173,"Er ging bald weg & ich hatte so viel Arbeit, daß ich nicht zeit hatte um darüber nachzudenken.",Event,Social,,,
15,174,Ich finde nur alles so,Reflection,Social,,,
16,175,"Monatsbilanz Juli
Rätselhaft.",Temp/Spat,Temp/Spat,,,
16,176,"Finke ist 26 alt und Frau L. auch, also was will er denn von mir, wo ich erst 16 bin & garnicht zu ihn passée.",Reflection,Romantic,,,
16,177,Hans Mommertz schreibt auch nicht.,Event,Romantic,,,
16,178,"Der ist vielleicht beleidigt, weil ich so kurz & formell antwortete.",Reflection,Romantic,,,
16,179,Im Lunisch habe ich auch einen netten Jungen Hans Jürgens von der Kunstgewerbe-Schule entdeckt.,Event,Romantic,,,
16,180,"Ganz nett, scheint nur sehr schüchtern zu sein.",Reflection,Romantic,,,
16,181,Ins Korso kommt auch manchmal ein hübscher blonder Boxer.,Event,Romantic,,,
16,182,"Ich glaube zwar, dass der eine Freundin hat.",Reflection,Romantic,,,
16,183,"Wenn ich hier in H.C.B., oder sonst wo bin, dann konnen mir Jungens gestohlen bleiben.",Reflection,Romantic,,,
16,184,"Ab & zu mal eine Liebelei, aber für etwas Festes so, bin ich noch zu jung.",Reflection,Romantic,,,
16,185,"Abwechslung muss ich haben, denn langer als 14 Tage halt das doch sowieso nicht an.",Reflection,Romantic,,,
16,186,Der Freund von Riemenschneider gefallt mir auch ganz gut.,Reflection,Romantic,,,
16,187,"Ein Herr Schmitt, aber der ist zu alt.",Reflection,Romantic,,,
16,188,"Wenn der eine Freundin hat, dann hat der was in Schild & sowas kommt doch wohl garnicht in die frage.",Reflection,Romantic,,,
17,189,Monatsbilanz August Finke ist reumütig zu seiner alten Liebe aus Lehndorf zurückgekehrt.,Temp/Spat,Temp/Spat,,,
17,189,,Event,Romantic,,,
17,190,Er hat von Frau Lüddecke die Nase voll.,Event,Romantic,,,
17,191,"Der blonde boxer ist ein Berliner der bei Voigtländer Mechaniker ist, Derselbe war mit Frl. Maurie etwas befreundet.",Event,Romantic,,,
17,192,"Leider kam meine abreise nach ihm dazwischen, und so lernte ich ihn nicht kennen.",Event,Social,,,
17,193,"Hansi Jürgens habe ich noch 1 mal im Lünischteich gesehen, doch leider nur von Weiten.",Event,Romantic,,,
17,194,Hans habe ich neulich besucht & hatten Qualm + Gimbo bei Biermann ordentlich getankt.,Event,Social,,,
17,195,Ich trank mit Hans ein glas Eierlikör & Bumbo machte Blödsinn.,Event,Social,,,
17,196,Bin dann sofort ins Bad gefahren.,Event,Social,,,
17,197,Habe mich mit Romy angefreundet.,Event,Social,,,
17,198,Hans hat wegen meiner Abstammung unannehmlichkeiten gehabt und ich finde ihn auf einmal wieder ganz nett.,Event,Political,YES,,
17,199,"Habe ihm von Mannheim einen Brief geschrieben, das er sich eine rein Arierin als Couleurdame nehmen soll.",Event,Political,YES,,
18,200,"Heute, den 6. Sept.33 war beim Prälat Bauer mit Oma.",Temp/Spat,Temp/Spat,,,
18,200,,Event,Social,,,
18,201,Habe mit Ruth gesprochen.,Event,Social,,,
18,202,Traf Anneliese und Jese & Lilly Ascher.,Event,Social,,,
18,203,Wollte Baden.,Event,Social,,,
18,204,"Herrn Rausch & auch Frau tut es leid, dass die ganze sache so ging.",Reflection,Social,,,
18,205,Einesteils ist Herr Rausch froh dass ich wahrend der zeit schon weg war.,Reflection,Social,,,
18,206,"Nicht weil ich Spielerin der I Damenelf war, sondern weil ich ein so lieber mensch war und mich so für die Sache einsetzte.",Reflection,Social,,,
18,207,"Na schön, erledigt.",Reflection,Social,,,
18,208,"Was nicht ist, ist nicht.",Reflection,Social,,,
18,209,"Leider tut mir nur, dass ich hier nicht zum Schwimmen gehen kann.",Reflection,Social,YES,,
18,209,,Reflection,Political,,,
19,210,Nachtrag zum Ende August 33 Mutter und ich waren in Hannover zum Weak-end.,Temp/Spat,Temp/Spat,,,
19,210,,Event,Social,,,
19,211,"Samstag waren wir bei Doernhaus - Weinstube mit Frau Mayer, Frau Grau, Frau Werner & meine Mutter und ich an einen Tisch.",Event,Social,,,
19,212,Es war enorm voll.,Event,Social,,,
19,213,Ich tantzte auch einige mal.,Event,Social,,,
19,214,"Da kam auf einmal ein großer Herr, einfach ein H Mann rein & setzte sich mir gegenüber.",Event,Social,YES,,
19,214,,Event,Political,,,
19,215,"Gerade erhob er sich und wollte mit mir tanzen, als ich schon engagiert war.",Event,Romantic,YES,,
19,215,,Event,Political,,,
19,216,"Er setzte sich dann wieder und beim nächsten Tanz ging es genau so, nur lachte er da sehr als er aufstand.",Event,Romantic,,,
19,217,Zum dritten mal hat es dann geklappt er kam her und wir tanzten.,Event,Romantic,,,
19,218,Ich erfuhr das er am gericht war & das er 26 war.,Event,Romantic,,,
19,219,Wir unterhielten uns noch blendend.,Event,Romantic,,,
19,220,Die zeit verging im Nu und ich sagte ihm dann das ich am andern Tag schon wieder los nach B. fuhr.,Event,Romantic,,,
19,220,,Reflection,Temporal,,,
19,221,"Ich hatte mir seine Adresse und sein Name sagen lassen sollen; denn wenn ich tatsächlich in Hannover Nahen lerne, dann hatte ich diesen H. Mann “ wenigstens noch einmal sehen konnen.",Reflection,Romantic,YES,,
19,222,Es war ein schönes erlebnis und ein liebes Andenken an Hannover.,Reflection,Romantic,,,
20,223,Nach meiner Rückkehr nach B. traf ich ganz kurz Sonny.,Event,Social,,,
20,224,"Er erkundigte sich, ob wir uns und wann wir uns mal wieder sehen können.",Event,Social,,,
20,225,Meine antwort lautete im Beisein von Micky: Wir werden uns gelegentlich schon mal wieder treffen.,Event,Social,,,
20,226,Aus.,Reflection,Romantic,,,
20,227,Noch zu gerne hätte ich mal mit ihm unter 4 Augen gesprochen Aber leider weiss ich seine Adresse nicht.,Reflection,Romantic,,,
21,228,Fabelhaft war es auch in Ulm mit.,Temp/Spat,Temp/Spat,,,
21,229,Mit Hertel; dauernd wegen der Kapelle Baden - Baden “Gittman - Waldmann” in die Libelle.,Event,Social,,,
21,230,Einen Abend sogar mit Hertel alleine ins Cafaso-Bar.,Event,Social,,,
21,231,Haben getanzt und dann P. Beuchel Hertels Verehrer getroffen.,Event,Social,,,
21,232,Tranken Wein etc. etc. Hertel übernachtete bei mir auf der Chaise.,Event,Social,,,
21,233,Am Samstag drauf war ich bei ihr zur Kerwe mit Frl. Stahl war ungemütlich.,Event,Social,,,
22,234,Finke ist seiner alten Liebe treu geworden.,Event,Romantic,,,
22,235,"Nun ist Hans Werner Teichmann Wolfgang Deuter, Dummer an der Reihe.",Event,Romantic,,,
23,236,"Heute 14. Jan 1934
Mit Annelie im “Lustigen Füsilier” gewesen.",Temp/Spat,Temp/Spat,,,
23,236,,Event,Social,,,
23,237,"Habe auch mit Hans-Werner getanzt, der bei Matthias am Tisch saß.",Event,Social,,,
23,238,Übrigens ist Mathias sehr nett.,Reflection,Romantic,,,
24,239,"Heute, 15. Jan 34
Ich war im kino und ging nach hause habe mich mit Hans Werner bis ½ 3 Uhr unterhalten.",Temp/Spat,Temp/Spat,,,
24,239,,Event,Romantic,,,
24,240,"So langsam, aber sicher scheine ich ihn lieb zu gewinnen.",Reflection,Romantic,,,
25,241,"Heute, 18. Jan. 34
Hans Werner hat mich ins Viktoria-Luisa eingeladen.",Temp/Spat,Temp/Spat,,,
25,241,,Event,Social,,,
25,242,Von 5-7 Uhr waren wir dort.,Temp/Spat,Temp/Spat,,,
25,243,Haben als einzige getanzt.,Event,Social,,,
25,244,Er hat fabelhaft schone Augen und Augenwimpern und auch hübsche Zähne.,Reflection,Romantic,,,
25,245,Er hat mir einen grossen Karton Pralinen geschenkt und zum Weihnachten ein Buch: “Oberst v. Steuben”,Event,Romantic,,,
26,246,"Heute, 21. Jan 34
Wolfgang eingeladen zu Tiefland.",Temp/Spat,Temp/Spat,,,
26,246,,Event,Social,,,
26,247,War sehr gut die Oper Wölflein ist für mich zu kindisch.,Reflection,Social,,,
26,248,Er ist zu jung.,Reflection,Romantic,,,
26,249,"Gebe ihm mittags unterricht, aber er lernt nichts.",Event,Romantic,,,
27,250,"Heute den. 22. Jan. 34
Mittags bei Karstadt Lammfell besorgt.",Temp/Spat,Temp/Spat,,,
27,250,,Event,Social,,,
27,251,Dummer hat mich bedient und andauernd gegrient.,Event,Social,,,
27,252,Sieht ja bild schon und fabelhaft schick aus.,Reflection,Romantic,,,
27,253,"Die Figur, die Augen, die Sprache, den Anzug und dann noch Sport mensch.",Reflection,Romantic,,,
28,254,Hans Werner ist tief betrübt wegen Zivilverbot.,Event,Political,YES,,
28,255,"Immer, immer uniform + uniform.",Event,Political,YES,,
29,256,Putzmachervergnugen!,Event,Social,,,
29,257,War fabelhaft!,Reflection,Social,,,
29,258,Sassen an der Ehrentafel!,Event,Social,,,
29,259,Deuter sprach.,Event,Social,,,
29,260,Neben mir saß Wolf.,Event,Social,,,
29,261,Nette vortrage und zwischendurch tanz.,Event,Social,,,
29,262,Habe mit Herrn Berger getanzt.,Event,Social,,,
29,263,"Am Tisch sass einer von Berlin “Mister, Walter” mit dem ich gerne tanzte.",Event,Social,,,
29,264,Hat mich gerade aufgefordert als Sternberger schon angewalzt kam.,Event,Social,,,
29,265,Auch mein süßer dummer war mit Eltern da.,Event,Romantic,,,
29,266,"Eine reihe Pflichttänze hatte der arme Junge zu erledigen, das war schon nicht mehr feierlich.",Event,Social,,,
29,267,Er augte dauernd zu uns; aber als Sohn vom Chef muss er zuerst mit die Firma tanzen.,Event,Social,,,
29,268,"Als dann gemütlich wurde und er so ziemlich fertig war, da Herr D. wollte gehen und wir mussten anstandshalber mitgehen.",Event,Social,,,
30,269,"Heute 10. Februar 34
Mit Annelie + Gunter u. Frau Lebke beim M.T.Y. Vergnügen.",Temp/Spat,Temp/Spat,,,
30,269,,Event,Social,,,
30,270,Ich habe mich schrecklich gemopst.,Reflection,Social,,,
30,271,"Es waren keine netten Herren da und mir, gegenüber in einer Loge.",Event,Social,,,
30,272,knutschte dauernd Fritze Hofmann.,Event,Romantic,,,
30,273,Es war überhaupt g.k.,Reflection,Romantic,,,
30,274,"Diese Knutscherei wäre gerne eher gegangen, musste aber auf Annelie etc warten & so wurde es ½ 5 Uhr.",Event,Social,,,
